"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02"
"New York","NY","New York","Kings",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3800,3800,3700,3600,3600,3600,3600,3700,3500,3600,3700,3800,3700,3650,3600,3555,3550,3523,3595,3600,3700,3697,3695,3700,3750,3899,3784,3400,3575.5,3600,3558.5,3600,3795,3800,3800,3833,3799,3695,3599,3600,3600,3595
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,3645,4000,4250,4360,4300,4197.5,4000,4200,4200,4000,4162.5,4098,3995,3950
"Houston","TX","Houston","Harris",3,,,,,,,1895,1872.5,1600,1595,1525,1650,1600,1650,1575,1562.5,1725,1600,1525,1475,1500,1500,1550,1550,1500,1525,1400,1400,1400,1500,1595,1500,1245,1400,1400,1400,1400,1549,1425,1495,1450,1500,1600,1675,1549.5,1549,1650,1650,1400,1450,1500,1700,1800,1850,1850,1800,1800,1800,1800,1800,1850,1859,1900,2054.5,2000,2100,2000,2000,1995,2000,1995,1950,1950,1950,1997,1970,1975,1950,1950,2070,1800,1869,1795,1895,1850,1900,1995,1990,1950,1950,1950,1960,1900,1850,1900,1850,1800
"Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,1750,1685,1600,1600,1800,1850,1950,2000,1950,1950,1900,1900,1800,1725,1757.5,1750,1650,1700,1950,2000,2000,2000,2000,2000,1925,1850,1800,1850,1999,2000,2000,2000,2000,2000,2000,2000,1800,1800,1799,2000,2000,2000,2000,2100,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2047.5,2000,2000,2000,2000,2000,1885,1900,1850,2000,2000,1995,2000,2000,2000,2000,2000,2000,2000,1950,2000,2100,2000,2000,2000
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,,,,,,,,,1250,1162.5,1097.5,1095,1250,1150,1100,1100,1200,1269,1249,1200,1106,1100,1077,1095,1100,1175,1150,1105.5,1137,1150,1150,1100,1177,1175,1212.5,1125,1100,1100,1100,1175,1127,1212.5,1247,1137,1175,1205,1295,1200,1295,1295,1195,1272.5,1312,1352,1297.5,1275,1325,1232.5,1295,1295,1259.5,1269.5,1280,1200,1200,1295,1225,1247.5,1275,1325,1332,1275,1279.5,1362.5,1499.5,1475.5,1400,1350,1236,1200,1275,1350,1386.5,1353,1300
"Las Vegas","NV","Las Vegas","Clark",6,,,,1400,1337.5,1297.5,1500,1595,1695,1600,1497.5,1455,1400,1395,1395,1452.5,1450,1400,1400,1447.5,1400,1375,1350,1395,1350,1395,1395,1350,1380,1375,1350,1350,1350,1335,1300,1300,1349,1350,1390,1390,1350,1350,1390,1395,1395,1395,1395,1375,1375,1375,1377,1400,1400,1400,1400,1400,1400,1395,1395,1396.5,1400,1400,1495,1450,1450,1495,1495,1475,1450,1495,1450,1450,1495,1550,1500,1495,1525,1495,1495,1450,1450,1500,1485,1500,1550,1582.5,1600,1600,1600,1600,1600,1600,1600,1600,1600,1635,1640
"San Antonio","TX","San Antonio","Bexar",7,,,,,,,,,,,,,,1395,1400,1440.5,1450,1450,1407,1400,1400,1400,1395,1375,1400,1500,1407,1475,1500,1495,1450,1450,1450,1495,1375,1450,1400,1475,1495,1500,1500,1500,1475,1450,1450,1395,1400,1425,1400,1400,1425,1500,1500,1500,1500,1495,1475,1450,1450,1485,1500,1500,1500,1550,1595,1600,1550,1550,1575,1595,1550,1537.5,1595,1595,1600,1595,1595,1632.5,1600,1585,1550,1525,1595,1612.5,1650,1650,1695,1725,1695,1700,1695,1695,1650,1625,1600,1600,1645
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,3500,3400,3297.5,3000,2900,2650,2625,2750,2850,2750,2700,2600,2477.5,2500,2695,2600,2600,2600,2500,2500,2495,2495,2495,2595,2500,2500,2525,2750,2895,2981.5,2800,2600,2795,2700,2620,2600,2700,2850,2925,3000,3000,2950,2850,2850,2895,3200,3225,3000,3000,3000,3000,3150,3100,2997.5,2985,3000,3050,3200,3495,3440,3250,3200,3200,3060,3050,3000,2995,3000,2895,3295,3395,3387.5,3500,3600,3700,3500,3500,3500,3387.5,3295,3300,3400,3500
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,2600,2525,2553,2597.5,2650,2550,2495,2595,2795,2500,2500,2550,2550,2500,2600,2650,2600,2700,2650,2600,2600,2600,2600,2795,2945,2985,3025,3050,2797.5,2995,2895,2900,2850,2895,3200,3295,3400,3275,3495,3350,3300,3295,3297.5,3250,3500,3500,3500,3700,3700,3500,3500,3600,3525,3500,3500,3662.5,3700,3625,3650,3800,3825,3797.5,3750,3680,3700,3700,3600,3650,3695,3700,3800,3800,3950,3825,3797.5,3750,3700,3740,3800,3800
"Jacksonville","FL","Jacksonville","Duval",10,1395,1395,1400,1399.5,1400,1350,1350,1395,1350,1350,1395,1362.5,1392.5,1350,1300,1350,1350,1395,1395,1350,1300,1295,1225,1250,1299,1275,1275,1250,1295,1295,1237.5,1250,1200,1250,1200,1212.5,1250,1250,1300,1350,1350,1350,1350,1325,1325,1350,1325,1300,1300,1350,1350,1350,1347,1350,1300,1300,1295,1252.5,1275,1275,1250,1295,1300,1300,1350,1350,1300,1325,1325,1350,1350,1350,1349,1350,1375,1395,1399,1425,1395,1399,1375,1350,1395,1350,1350,1400,1475,1472.5,1475,1475,1499.5,1495,1500,1450,1430,1450,1450
